vehicle_id,route_id, route_direction,timestamp,lat,lng
1_52808,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251132000,-23.573908000000003,-46.6509115
1_52828,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251136000,-23.652816,-46.607754
1_51230,ed5ea2bf-7194-42fb-89a9-8794a74a27df,1,1602251075000,-23.554607750000002,-46.62488425
1_51216,ed5ea2bf-7194-42fb-89a9-8794a74a27df,-1,1602251155000,-23.613911,-46.627089999999995
1_51227,ed5ea2bf-7194-42fb-89a9-8794a74a27df,0,1602251138000,-23.6510365,-46.620753
9_1021,c0406960-721b-4c89-953e-e5eacf65e0b6,-1,1602262242000,-23.627156,-46.628988
9_52235,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602262213000,-23.664866,-46.624483
9_1023,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602262226000,-23.698203,-46.55288
9_53413,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262253000,-23.632761,-46.627466
9_52266,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602262223000,-23.684697,-46.6266109
9_1017,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602262208000,-23.6177,-46.6389799
9_53410,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262143000,-23.6371879,-46.627061
9_1011,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602262224000,-23.650218,-46.577124
9_53411,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262267000,-23.675438,-46.606888
9_52344,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602262190000,-23.657855,-46.618038
9_53409,d76c5924-95d2-4f13-a0fa-03e4ff12ebe0,1,1602262226000,-23.647516,-46.624594
9_1031,c0406960-721b-4c89-953e-e5eacf65e0b6,-1,1602262201000,-23.659048,-46.598376
